Month-Year,Pivot Field Names,Pivot Field Values
01-Mar-16,Exports: Guam,19.8
01-Mar-16,Exports: Guatemala,2.4
01-Mar-16,Exports: Guinea,0.3
01-Mar-16,Exports: Guyana,0.3
01-Mar-16,Exports: Honduras,0.1
01-Mar-16,Exports: Hong Kong SAR (China),4871.8
01-Mar-16,Exports: Hungary,49
01-Mar-16,Exports: India,1295.7
01-Mar-16,Exports: Indonesia,3029.9
01-Mar-16,Exports: Iran,6.1
01-Mar-16,Exports: Ireland,36.8
01-Mar-16,Exports: Israel,59.4
01-Mar-16,Exports: Italy,76.5
01-Mar-16,Exports: Jamaica,0.9
01-Mar-16,Exports: Japan,1923.1
01-Mar-16,Exports: Jordan,3.4
01-Mar-16,Exports: Kazakhstan,1.3
01-Mar-16,Exports: Kenya,6
01-Mar-16,Exports: Kuwait,21.5
01-Mar-16,Exports: Lao Peo Dem Rep,5.4
01-Mar-16,Exports: Latvia,1.7
01-Mar-16,Exports: Lebanon,4.9
01-Mar-16,Exports: Liberia,144.2
01-Mar-16,Exports: Libyan Arab Jamahiriya,1.5
01-Mar-16,Exports: Lithuania,1.3
01-Mar-16,Exports: Luxembourg,9.9
01-Mar-16,Exports: Macau SAR (China),10.8
01-Mar-16,Exports: Madagascar,1.7
01-Mar-16,Exports: Malaysia,4225.1
01-Mar-16,Exports: Maldives Rep of,33.9
01-Mar-16,Exports: Malta,73.1
01-Mar-16,Exports: Marshall Islands,119.3
01-Mar-16,Exports: Mauritius,5.3
01-Mar-16,Exports: Mexico,108.1
01-Mar-16,Exports: Mongolian Peo Rep,4.6
01-Mar-16,Exports: Morocco,14.6
01-Mar-16,Exports: Mozambique,1.4
01-Mar-16,Exports: Myanmar,306.9
01-Mar-16,Exports: Nepal,9.5
01-Mar-16,Exports: Netherlands Antilles,0
01-Mar-16,Exports: Netherlands,720.7
01-Mar-16,Exports: New Caledonia,13.9
01-Mar-16,Exports: New Zealand,182.4
01-Mar-16,Exports: Nigeria,18.3
01-Mar-16,Exports: Northern Mariana Islands,1.2
01-Mar-16,Exports: Norway,25.4
01-Mar-16,Exports: Oman,24.6
01-Mar-16,Exports: Other Countries of Africa,11.7
01-Mar-16,Exports: Other Countries of America,9.1
01-Mar-16,Exports: Other Countries of Asia,10.4
01-Mar-16,Exports: Other Countries of Europe,17.7
01-Mar-16,Exports: Other Countries of Oceania,8.1
01-Mar-16,Exports: Pakistan,95.5
01-Mar-16,Exports: Panama,534
01-Mar-16,Exports: Papua New Guinea,59.4
01-Mar-16,Exports: Paraguay,0.1
01-Mar-16,Exports: Peru,4.4
01-Mar-16,Exports: Philippines,729.4
01-Mar-16,Exports: Poland,20
01-Mar-16,Exports: Portugal,18.1
01-Mar-16,Exports: Puerto Rico,147.7
01-Mar-16,Exports: Qatar,19.4
01-Mar-16,Exports: Reunion,43.3
01-Mar-16,Exports: Romania,6.4
01-Mar-16,Exports: Russia,31.9
01-Mar-16,Exports: Saint Vincent and the Grenadines,3
01-Mar-16,Exports: Samoa,4.3
01-Mar-16,Exports: Saudi Arabia,110.9
01-Mar-16,Exports: Seychelles,3.1
01-Mar-16,Exports: Slovak Republic,2.6
01-Mar-16,Exports: Slovenia,2.9
01-Mar-16,Exports: Solomon Islands,4.8
01-Mar-16,Exports: South Africa,42.8
01-Mar-16,Exports: South Korea,1888.9
01-Mar-16,Exports: Spain,36.4
01-Mar-16,Exports: Sri Lanka,157.9
01-Mar-16,Exports: Sudan,0.7
01-Mar-16,Exports: Sweden,22.3
01-Mar-16,Exports: Switzerland,944
01-Mar-16,Exports: Syrian Arab Rep,0.9
01-Mar-16,Exports: Taiwan,1489
01-Mar-16,Exports: Tanzania,6.2
01-Mar-16,Exports: Thailand,1717.9
01-Mar-16,Exports: Trinidad & Tobago,3.5
01-Mar-16,Exports: Tunisia,2.2
01-Mar-16,Exports: Turkey,57.4
01-Mar-16,Exports: USA,2500.8
01-Mar-16,Exports: Ukraine,2.7
01-Mar-16,Exports: United Arab Emirates,498.2
01-Mar-16,Exports: United Kingdom,442.8
01-Mar-16,Exports: Uruguay,2.4
01-Mar-16,Exports: Vanuatu,3.6
01-Mar-16,Exports: Venezuela,3.1
01-Mar-16,Exports: Vietnam,1342.3
01-Mar-16,Exports: Yemen,3.4
01-Mar-16,Exports: Zambia,0.2
01-Mar-16,Exports: Zimbabwe,0.3
01-Apr-16,Exports: Afghanistan,2.5
01-Apr-16,Exports: Algeria,2.5
01-Apr-16,Exports: Angola,15.7
01-Apr-16,Exports: Antigua and Barbuda,12.4
01-Apr-16,Exports: Argentina,7.8
01-Apr-16,Exports: Australia,955.7
01-Apr-16,Exports: Austria,13.2
01-Apr-16,Exports: Bahamas,38.1
01-Apr-16,Exports: Bahrain,10.7
01-Apr-16,Exports: Bangladesh,288.3
01-Apr-16,Exports: Belarus,0.2
01-Apr-16,Exports: Belgium,961.6
01-Apr-16,Exports: Benin,1.5
01-Apr-16,Exports: Bermuda,3.7
01-Apr-16,Exports: Brazil,96.4
01-Apr-16,Exports: Brunei,77.2
01-Apr-16,Exports: Bulgaria,0.7
01-Apr-16,Exports: Cambodia,98.9
01-Apr-16,Exports: Cameroon,1.5
01-Apr-16,Exports: Canada,73
01-Apr-16,Exports: Chile,4.9
01-Apr-16,Exports: China,5119.5
01-Apr-16,Exports: Christmas Islands,0.1
01-Apr-16,Exports: Colombia,6.1
01-Apr-16,Exports: Comoros,0.3
01-Apr-16,Exports: Costa Rica,3
01-Apr-16,Exports: Cote D'ivoire,2.2
01-Apr-16,Exports: Croatia,1.7
01-Apr-16,Exports: Cuba,0
01-Apr-16,Exports: Cyprus,24.7
01-Apr-16,"Exports: Czech, Republic",40.9
01-Apr-16,Exports: Denmark,41.4
01-Apr-16,Exports: Djibouti,2.3
01-Apr-16,Exports: Dominican Rep,1.4
01-Apr-16,Exports: Ecuador,3.6
01-Apr-16,Exports: Egypt,42
01-Apr-16,Exports: El Salvador,0.5
01-Apr-16,Exports: Estonia,1.1
01-Apr-16,Exports: Eswatini,0.1
01-Apr-16,Exports: Ethiopia,1.1
01-Apr-16,Exports: Fiji,27.2
01-Apr-16,Exports: Finland,23.2
01-Apr-16,Exports: France,354.5
01-Apr-16,Exports: French Polynesia,1.4
01-Apr-16,Exports: Gabon,1.2
01-Apr-16,Exports: Germany,618.4
01-Apr-16,Exports: Ghana,5.7
01-Apr-16,Exports: Greece,58.2
01-Apr-16,Exports: Guam,20.2
01-Apr-16,Exports: Guatemala,2.8
01-Apr-16,Exports: Guinea,37.3
01-Apr-16,Exports: Guyana,0.5
01-Apr-16,Exports: Honduras,0.2
01-Apr-16,Exports: Hong Kong SAR (China),5149.6
01-Apr-16,Exports: Hungary,27.6
01-Apr-16,Exports: India,1137.6
01-Apr-16,Exports: Indonesia,2903.8
01-Apr-16,Exports: Iran,7.2
01-Apr-16,Exports: Ireland,34.7
01-Apr-16,Exports: Israel,81.3
01-Apr-16,Exports: Italy,67.7
01-Apr-16,Exports: Jamaica,0.6
01-Apr-16,Exports: Japan,1702.3
01-Apr-16,Exports: Jordan,4.9
01-Apr-16,Exports: Kazakhstan,2.5
01-Apr-16,Exports: Kenya,4.2
01-Apr-16,Exports: Kuwait,22.9
01-Apr-16,Exports: Lao Peo Dem Rep,3.5
01-Apr-16,Exports: Latvia,1.9
01-Apr-16,Exports: Lebanon,4.3
01-Apr-16,Exports: Liberia,190.6
01-Apr-16,Exports: Libyan Arab Jamahiriya,1
01-Apr-16,Exports: Lithuania,1.8
01-Apr-16,Exports: Luxembourg,7.4
01-Apr-16,Exports: Macau SAR (China),11.3
01-Apr-16,Exports: Madagascar,2.2
01-Apr-16,Exports: Malaysia,4422.5
01-Apr-16,Exports: Maldives Rep of,25.2
01-Apr-16,Exports: Malta,92.5
01-Apr-16,Exports: Marshall Islands,172.8
01-Apr-16,Exports: Mauritius,14.4
01-Apr-16,Exports: Mexico,117.8
01-Apr-16,Exports: Mongolian Peo Rep,4.5
01-Apr-16,Exports: Morocco,12.2
01-Apr-16,Exports: Mozambique,0.9
01-Apr-16,Exports: Myanmar,244.1
01-Apr-16,Exports: Nepal,5.9
01-Apr-16,Exports: Netherlands Antilles,0.9
01-Apr-16,Exports: Netherlands,754.4
01-Apr-16,Exports: New Caledonia,12.7
01-Apr-16,Exports: New Zealand,141.3
01-Apr-16,Exports: Nigeria,16.3
01-Apr-16,Exports: Northern Mariana Islands,1.1
01-Apr-16,Exports: Norway,27.3
01-Apr-16,Exports: Oman,15
01-Apr-16,Exports: Other Countries of Africa,30
01-Apr-16,Exports: Other Countries of America,9.6
01-Apr-16,Exports: Other Countries of Asia,16.7
01-Apr-16,Exports: Other Countries of Europe,16.9
01-Apr-16,Exports: Other Countries of Oceania,5.5
01-Apr-16,Exports: Pakistan,95.2
01-Apr-16,Exports: Panama,678.4
01-Apr-16,Exports: Papua New Guinea,34.8
01-Apr-16,Exports: Paraguay,0.1
01-Apr-16,Exports: Peru,4.7
01-Apr-16,Exports: Philippines,723.2
01-Apr-16,Exports: Poland,27.6
01-Apr-16,Exports: Portugal,18.1
01-Apr-16,Exports: Puerto Rico,180.1
01-Apr-16,Exports: Qatar,24.7
01-Apr-16,Exports: Reunion,41.2
01-Apr-16,Exports: Romania,11.7
01-Apr-16,Exports: Russia,47.3
01-Apr-16,Exports: Saint Vincent and the Grenadines,1.9
01-Apr-16,Exports: Samoa,2.9
01-Apr-16,Exports: Saudi Arabia,112.2
01-Apr-16,Exports: Seychelles,1.8
01-Apr-16,Exports: Slovak Republic,3.8
01-Apr-16,Exports: Slovenia,2.2
01-Apr-16,Exports: Solomon Islands,13.7
01-Apr-16,Exports: South Africa,49.6
01-Apr-16,Exports: South Korea,1825.8
01-Apr-16,Exports: Spain,38
01-Apr-16,Exports: Sri Lanka,138.8
01-Apr-16,Exports: Sudan,0.1
01-Apr-16,Exports: Sweden,17.7
01-Apr-16,Exports: Switzerland,268.6
01-Apr-16,Exports: Syrian Arab Rep,1.5
01-Apr-16,Exports: Taiwan,1432.3
01-Apr-16,Exports: Tanzania,2.6
01-Apr-16,Exports: Thailand,1534.6
01-Apr-16,Exports: Trinidad & Tobago,1.1
01-Apr-16,Exports: Tunisia,3.9
01-Apr-16,Exports: Turkey,55.8
01-Apr-16,Exports: USA,2505
01-Apr-16,Exports: Ukraine,0.6
01-Apr-16,Exports: United Arab Emirates,483.1
01-Apr-16,Exports: United Kingdom,364.1
01-Apr-16,Exports: Uruguay,4
01-Apr-16,Exports: Vanuatu,1
01-Apr-16,Exports: Venezuela,2.6
01-Apr-16,Exports: Vietnam,1354.5
01-Apr-16,Exports: Yemen,5
01-Apr-16,Exports: Zambia,1.1
01-Apr-16,Exports: Zimbabwe,0.7
01-May-16,Exports: Afghanistan,1.3
01-May-16,Exports: Algeria,2.3
01-May-16,Exports: Angola,4.1
01-May-16,Exports: Antigua and Barbuda,15.1
01-May-16,Exports: Argentina,14.6
01-May-16,Exports: Australia,960
01-May-16,Exports: Austria,10.5
01-May-16,Exports: Bahamas,56.5
01-May-16,Exports: Bahrain,13.9
01-May-16,Exports: Bangladesh,288.2
01-May-16,Exports: Belarus,0.2
01-May-16,Exports: Belgium,458.9
01-May-16,Exports: Benin,1.8
01-May-16,Exports: Bermuda,13.7
01-May-16,Exports: Brazil,87.8
01-May-16,Exports: Brunei,98.2
01-May-16,Exports: Bulgaria,1.8
01-May-16,Exports: Cambodia,172.2
01-May-16,Exports: Cameroon,2.3
01-May-16,Exports: Canada,48
01-May-16,Exports: Chile,4.7
01-May-16,Exports: China,4814.2
01-May-16,Exports: Christmas Islands,0.1
01-May-16,Exports: Colombia,5.7
01-May-16,Exports: Comoros,0.4
01-May-16,Exports: Costa Rica,3.6
01-May-16,Exports: Cote D'ivoire,1.4
01-May-16,Exports: Croatia,0.7
01-May-16,Exports: Cuba,0.2
01-May-16,Exports: Cyprus,30.4
01-May-16,"Exports: Czech, Republic",26
01-May-16,Exports: Denmark,20.5
01-May-16,Exports: Djibouti,1.5
01-May-16,Exports: Dominican Rep,1
01-May-16,Exports: Ecuador,3.6
01-May-16,Exports: Egypt,64
01-May-16,Exports: El Salvador,0.6
01-May-16,Exports: Estonia,0.6
01-May-16,Exports: Eswatini,0.1
01-May-16,Exports: Ethiopia,3
01-May-16,Exports: Fiji,34.2
01-May-16,Exports: Finland,10.9
01-May-16,Exports: France,327
01-May-16,Exports: French Polynesia,11.3
01-May-16,Exports: Gabon,1.9
