Month-Year,Pivot Field Names,Pivot Field Values
01-Apr-16,Imports: Chile,5.9
01-Apr-16,Imports: China,4430.9
01-Apr-16,Imports: Colombia,34.9
01-Apr-16,Imports: Comoros,0.3
01-Apr-16,Imports: Costa Rica,8.6
01-Apr-16,Imports: Cote D'ivoire,2.9
01-Apr-16,Imports: Croatia,5.3
01-Apr-16,Imports: Cuba,0.8
01-Apr-16,Imports: Cyprus,0.9
01-Apr-16,"Imports: Czech, Republic",32.1
01-Apr-16,Imports: Denmark,40.2
01-Apr-16,Imports: Djibouti,0.1
01-Apr-16,Imports: Dominican Rep,3.8
01-Apr-16,Imports: Ecuador,1.4
01-Apr-16,Imports: Egypt,4.9
01-Apr-16,Imports: El Salvador,0.8
01-Apr-16,Imports: Estonia,14.2
01-Apr-16,Imports: Eswatini,0.4
01-Apr-16,Imports: Ethiopia,2.5
01-Apr-16,Imports: Fiji,0.5
01-Apr-16,Imports: Finland,32.2
01-Apr-16,Imports: France,1288.7
01-Apr-16,Imports: French Polynesia,0.2
01-Apr-16,Imports: Gabon,0.2
01-Apr-16,Imports: Germany,1013.9
01-Apr-16,Imports: Ghana,24.5
01-Apr-16,Imports: Greece,18.4
01-Apr-16,Imports: Guam,0.1
01-Apr-16,Imports: Guatemala,0.5
01-Apr-16,Imports: Hong Kong SAR (China),333.8
01-Apr-16,Imports: Hungary,56.6
01-Apr-16,Imports: India,502.8
01-Apr-16,Imports: Indonesia,1560.8
01-Apr-16,Imports: Iran,59.5
01-Apr-16,Imports: Ireland,89.1
01-Apr-16,Imports: Israel,88.2
01-Apr-16,Imports: Italy,443.3
01-Apr-16,Imports: Jamaica,0
01-Apr-16,Imports: Japan,2486.4
01-Apr-16,Imports: Jordan,2.4
01-Apr-16,Imports: Kazakhstan,0.1
01-Apr-16,Imports: Kenya,0.8
01-Apr-16,Imports: Kuwait,180.9
01-Apr-16,Imports: Lao Peo Dem Rep,0.2
01-Apr-16,Imports: Latvia,1.6
01-Apr-16,Imports: Lebanon,0.1
01-Apr-16,Imports: Liberia,0
01-Apr-16,Imports: Lithuania,19.2
01-Apr-16,Imports: Luxembourg,7.3
01-Apr-16,Imports: Macau SAR (China),1
01-Apr-16,Imports: Madagascar,27.5
01-Apr-16,Imports: Malaysia,3257.8
01-Apr-16,Imports: Maldives Rep of,0.1
01-Apr-16,Imports: Malta,37.9
01-Apr-16,Imports: Mauritius,1.4
01-Apr-16,Imports: Mexico,196.4
01-Apr-16,Imports: Morocco,13.5
01-Apr-16,Imports: Mozambique,0.2
01-Apr-16,Imports: Myanmar,8.9
01-Apr-16,Imports: Nepal,0.5
01-Apr-16,Imports: Netherlands Antilles,12.4
01-Apr-16,Imports: Netherlands,356.3
01-Apr-16,Imports: New Zealand,62.1
01-Apr-16,Imports: Nigeria,0.4
01-Apr-16,Imports: Northern Mariana Islands,0
01-Apr-16,Imports: Norway,103.4
01-Apr-16,Imports: Oman,22.4
01-Apr-16,Imports: Other Countries of Africa,17.7
01-Apr-16,Imports: Other Countries of America,16.1
01-Apr-16,Imports: Other Countries of Asia,2.1
01-Apr-16,Imports: Other Countries of Europe,5.1
01-Apr-16,Imports: Other Countries of Oceania,0.4
01-Apr-16,Imports: Pakistan,6.6
01-Apr-16,Imports: Panama,0
01-Apr-16,Imports: Papua New Guinea,39.2
01-Apr-16,Imports: Peru,0.8
01-Apr-16,Imports: Philippines,464.2
01-Apr-16,Imports: Poland,39.5
01-Apr-16,Imports: Portugal,33.5
01-Apr-16,Imports: Puerto Rico,15.5
01-Apr-16,Imports: Qatar,210.3
01-Apr-16,Imports: Reunion,0.5
01-Apr-16,Imports: Romania,7.2
01-Apr-16,Imports: Russia,301.3
01-Apr-16,Imports: Saudi Arabia,718
01-Apr-16,Imports: Seychelles,0.1
01-Apr-16,Imports: Slovak Republic,6.7
01-Apr-16,Imports: Slovenia,7.2
01-Apr-16,Imports: Solomon Islands,0
01-Apr-16,Imports: South Africa,43
01-Apr-16,Imports: South Korea,2186.1
01-Apr-16,Imports: Spain,83
01-Apr-16,Imports: Sri Lanka,12.4
01-Apr-16,Imports: Sudan,0
01-Apr-16,Imports: Sweden,102.9
01-Apr-16,Imports: Switzerland,619.1
01-Apr-16,Imports: Taiwan,2300.8
01-Apr-16,Imports: Tanzania,4.7
01-Apr-16,Imports: Thailand,629.3
01-Apr-16,Imports: Tunisia,1.2
01-Apr-16,Imports: Turkey,49.4
01-Apr-16,Imports: USA,3679.5
01-Apr-16,Imports: Ukraine,0.5
01-Apr-16,Imports: United Arab Emirates,862.3
01-Apr-16,Imports: United Kingdom,760.3
01-Apr-16,Imports: Uruguay,0.4
01-Apr-16,Imports: Vanuatu,0.1
01-Apr-16,Imports: Venezuela,15.7
01-Apr-16,Imports: Vietnam,367.4
01-Apr-16,Imports: Yemen,0
01-Apr-16,Imports: Zambia,56.4
01-Apr-16,Imports: Zimbabwe,36.9
01-May-16,Imports: Afghanistan,0
01-May-16,Imports: Angola,0.1
01-May-16,Imports: Argentina,10.6
01-May-16,Imports: Australia,388.8
01-May-16,Imports: Austria,123.2
01-May-16,Imports: Bahamas,0.1
01-May-16,Imports: Bahrain,46.9
01-May-16,Imports: Bangladesh,21.8
01-May-16,Imports: Belarus,0.1
01-May-16,Imports: Belgium,179.9
01-May-16,Imports: Brazil,182.5
01-May-16,Imports: Brunei,4
01-May-16,Imports: Bulgaria,7.8
01-May-16,Imports: Cambodia,347.5
01-May-16,Imports: Cameroon,6.8
01-May-16,Imports: Canada,137.3
01-May-16,Imports: Chile,54.8
01-May-16,Imports: China,4605.8
01-May-16,Imports: Colombia,16
01-May-16,Imports: Comoros,1.1
01-May-16,Imports: Costa Rica,7.3
01-May-16,Imports: Cote D'ivoire,0.9
01-May-16,Imports: Croatia,9.1
01-May-16,Imports: Cuba,0.9
01-May-16,Imports: Cyprus,2.5
01-May-16,"Imports: Czech, Republic",32.5
01-May-16,Imports: Denmark,47.2
01-May-16,Imports: Djibouti,0.1
01-May-16,Imports: Dominican Rep,7.3
01-May-16,Imports: Ecuador,1.3
01-May-16,Imports: Egypt,4.8
01-May-16,Imports: El Salvador,0.7
01-May-16,Imports: Estonia,6.1
01-May-16,Imports: Eswatini,0.1
01-May-16,Imports: Ethiopia,2.7
01-May-16,Imports: Fiji,0.5
01-May-16,Imports: Finland,32.1
01-May-16,Imports: France,953
01-May-16,Imports: French Polynesia,0.1
01-May-16,Imports: Gabon,0
01-May-16,Imports: Germany,1014.7
01-May-16,Imports: Ghana,13.6
01-May-16,Imports: Greece,7.5
01-May-16,Imports: Guam,0
01-May-16,Imports: Guatemala,0.3
01-May-16,Imports: Hong Kong SAR (China),296.3
01-May-16,Imports: Hungary,30.3
01-May-16,Imports: India,696.7
01-May-16,Imports: Indonesia,1686.9
01-May-16,Imports: Iran,74.2
01-May-16,Imports: Ireland,100.1
01-May-16,Imports: Israel,45.2
01-May-16,Imports: Italy,485.8
01-May-16,Imports: Jamaica,0
01-May-16,Imports: Japan,2381.2
01-May-16,Imports: Jordan,2.7
01-May-16,Imports: Kazakhstan,0.1
01-May-16,Imports: Kenya,0.8
01-May-16,Imports: Kuwait,358.5
01-May-16,Imports: Lao Peo Dem Rep,1.7
01-May-16,Imports: Latvia,2.9
01-May-16,Imports: Lebanon,0.2
01-May-16,Imports: Liberia,0
01-May-16,Imports: Lithuania,51.2
01-May-16,Imports: Luxembourg,10.7
01-May-16,Imports: Macau SAR (China),3.7
01-May-16,Imports: Madagascar,13.5
01-May-16,Imports: Malaysia,3755.9
01-May-16,Imports: Maldives Rep of,0.4
01-May-16,Imports: Malta,24.1
01-May-16,Imports: Mauritius,1.1
01-May-16,Imports: Mexico,222.2
01-May-16,Imports: Morocco,12.1
01-May-16,Imports: Mozambique,0.2
01-May-16,Imports: Myanmar,5.6
01-May-16,Imports: Nepal,0.4
01-May-16,Imports: Netherlands Antilles,0.9
01-May-16,Imports: Netherlands,473.6
01-May-16,Imports: New Zealand,70.8
01-May-16,Imports: Nigeria,1.5
01-May-16,Imports: Northern Mariana Islands,0
01-May-16,Imports: Norway,83
01-May-16,Imports: Oman,25.3
01-May-16,Imports: Other Countries of Africa,93.1
01-May-16,Imports: Other Countries of America,1.4
01-May-16,Imports: Other Countries of Asia,1.9
01-May-16,Imports: Other Countries of Europe,4.2
01-May-16,Imports: Other Countries of Oceania,0.1
01-May-16,Imports: Pakistan,5.9
01-May-16,Imports: Panama,0.7
01-May-16,Imports: Papua New Guinea,38.3
01-May-16,Imports: Peru,12
01-May-16,Imports: Philippines,507.1
01-May-16,Imports: Poland,46.5
01-May-16,Imports: Portugal,33.7
01-May-16,Imports: Puerto Rico,44.9
01-May-16,Imports: Qatar,305.8
01-May-16,Imports: Reunion,0.1
01-May-16,Imports: Romania,8.8
01-May-16,Imports: Russia,321.3
01-May-16,Imports: Saudi Arabia,819.3
01-May-16,Imports: Seychelles,0.1
01-May-16,Imports: Slovak Republic,6.7
01-May-16,Imports: Slovenia,5.6
01-May-16,Imports: Solomon Islands,0
01-May-16,Imports: South Africa,56
01-May-16,Imports: South Korea,1899.6
01-May-16,Imports: Spain,90.7
01-May-16,Imports: Sri Lanka,6.8
01-May-16,Imports: Sudan,0
